,household_key,total_quant,total_cust_sales,avg_lylty_unit_price,avg_nonlylty_unit_price,tot_sales_0_6,tot_sales_6_12,tot_sales_12_18,tot_sales_18_0,tot_sales_private,tot_lylty_disc,tot_coupon_disc,top_camp_sales_per,top_camp_quants_per,top_store,top_store_sales_per,top_store_quants_per,top_commodity,top_comm_sales_per,top_comm_quants_per,top_department,top_dept_sales_per,top_dept_quants_per,top_campaign,top_campaign_count,top_coupon,top_coupon_count,top_display,top_display_count,top_mailer,top_mailer_count,age,marital_status,income,homeowner_desc,gender_marital_status,household_size,kid_number,segment,mailer_label,display_label,percent_disc,log_label
0,2004,21160,49565.4,2.8916738769999997,2.548910875,0.0,0,12140.4,10963.05,3377.7,-7003.85,751.2,0.2,0.2,31782,0.18441029399999997,0.066679579,BAG SNACKS,0.010177059,0.005770154,GROCERY,0.11568190699999999,0.05877083599999999,8.0,17.0,10000085363.0,5.0,0,337.0,A,248.0,45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,2,1.0,1.0,0.015155733636770813,1
1,2488,1371565,31453.6,3.006390014,2.674108159,0.0,0,15832.75,14218.35,7290.15,-3965.9,183.95,0.2,0.2,324,0.13402472199999999,0.047498538,COUPON/MISC ITEMS,0.02016049,8.646895745,KIOSK-GAS,0.021114276,8.646927538,18.0,5.0,10000085475.0,2.0,0,157.0,0,117.0,45-54,B,35-49K,Homeowner,Single Female,1,None/Unknown,2,1.0,1.0,0.005848297174250324,1
2,22,3044650,43537.76,3.1307698960000003,2.7787592560000003,0.0,0,36798.86,4139.59,11754.75,-5653.76,317.38,0.14285714300000002,0.14285714300000002,404,0.062988312,0.017226426,COUPON/MISC ITEMS,0.023155072999999998,9.945389933,KIOSK-GAS,0.022648386,9.945321027,18.0,13.0,51600070033.0,4.0,0,137.0,A,86.0,45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,2,1.0,1.0,0.007289764103619478,1
3,1421,3116250,27585.0,2.7144387439999997,2.121450217,0.0,0,12255.5,14995.45,11746.05,-6237.35,105.2,0.2,0.2,31742,0.079445713,0.033713975,COUPON/MISC ITEMS,0.052892877000000005,22.51818017,KIOSK-GAS,0.052638752999999996,22.51810767,13.0,12.0,10000085479.0,5.0,0,284.0,A,223.0,35-44,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,1,1.0,1.0,0.0038136668479245967,1
4,979,3062952,100725.28,2.8672305639999998,2.33666885,0.0,0,39873.36,55794.64,16264.96,-22906.24,2158.32,0.125,0.125,368,0.086639719,0.03168023,COUPON/MISC ITEMS,0.008983544,3.746606612,KIOSK-GAS,0.007488984000000001,3.515979305,13.0,32.0,10000085426.0,10.0,0,513.0,A,381.0,35-44,B,35-49K,Homeowner,1 Adult Kids,2,1,3,1.0,1.0,0.021427788535311097,1
5,367,79023,48876.94,2.9528973339999998,2.312786569,0.0,0,44997.82,1742.86,9751.7,-16470.58,1572.97,0.14285714300000002,0.14285714300000002,368,0.137209899,0.050821512,COUPON/MISC ITEMS,0.001052234,0.154019462,KIOSK-GAS,0.000344539,0.153876245,8.0,14.0,10000085361.0,9.0,0,670.0,A,450.0,55-64,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,2,1.0,1.0,0.03218225199859075,1
6,256,1139950,97834.9,3.184556727,2.893297548,0.0,0,44325.7,53192.3,14568.6,-10344.6,821.3,0.1,0.1,424,0.091377106,0.029273807000000002,COUPON/MISC ITEMS,0.002789393,1.128779198,KIOSK-GAS,0.0027694620000000003,1.128768977,13.0,17.0,10000085478.0,9.0,0,271.0,A,202.0,25-34,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,3,1.0,1.0,0.008394754836975353,1
7,1633,1060290,50105.25,2.8474721080000003,2.428684724,0.0,0,15370.5,33179.05,11014.6,-9415.2,708.65,0.2,0.2,32004,0.178805415,0.067897077,COUPON/MISC ITEMS,0.009859446,4.146791005,KIOSK-GAS,0.009618353,4.146731131,18.0,6.0,10000085477.0,5.0,0,376.0,A,283.0,45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,2,1.0,1.0,0.014143228503999081,1
8,1823,3671935,60513.65,2.855156945,2.463927049,0.0,0,48082.6,10466.85,16897.85,-10146.5,830.6,0.2,0.2,402,0.170083113,0.060333495,COUPON/MISC ITEMS,0.029664216,12.06134484,KIOSK-GAS,0.027601211,12.06106391,18.0,18.0,10000085364.0,8.0,0,529.0,A,319.0,45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,2,1.0,1.0,0.01372582880060945,1
9,2007,3254160,44433.45,3.133639172,2.745916152,0.0,0,18509.65,24442.65,13507.75,-6246.1,173.5,0.2,0.2,424,0.127983535,0.039474765,COUPON/MISC ITEMS,0.032774858,14.58124454,KIOSK-GAS,0.031476962000000004,14.27827459,18.0,37.0,10000085478.0,26.0,0,231.0,A,189.0,45-54,A,50-74K,Homeowner,2 Adults Kids,3,1,2,1.0,1.0,0.003904715929102962,1
10,574,903815,31925.2,2.80636516,2.265207047,0.0,0,19388.05,9818.05,9324.4,-8252.6,1842.5,0.2,0.2,427,0.183395875,0.075363663,COUPON/MISC ITEMS,0.013150113,5.564569682,KIOSK-GAS,0.012937742,5.564507035,8.0,11.0,55220010013.0,5.0,0,486.0,A,344.0,35-44,A,75-99K,Homeowner,2 Adults Kids,3,1,2,1.0,1.0,0.057713029205768485,1
