,Household,Recency,Frequency,Monetary,R_score,F_score,M_score,household_key,DAY,COUPON_UPC,CAMPAIGN,Segment
1359,1609,711,412,27859.68,3,1,1,1609,615,10000085475,18,Almost Lost
1360,1609,711,412,27859.68,3,1,1,1609,615,51600070033,18,Almost Lost
1361,1609,711,412,27859.68,3,1,1,1609,615,51800015050,18,Almost Lost
1362,1609,711,412,27859.68,3,1,1,1609,623,54850010033,18,Almost Lost
2051,2322,711,323,23646.92,3,1,1,2322,431,54154888076,8,Almost Lost
2052,2322,711,323,23646.92,3,1,1,2322,442,54610020076,8,Almost Lost
2053,2322,711,323,23646.92,3,1,1,2322,442,57047092032,8,Almost Lost
1212,1453,710,761,21661.29,3,1,1,1453,412,57457010076,8,Almost Lost
1213,1453,710,761,21661.29,3,1,1,1453,413,53600000078,8,Almost Lost
1214,1453,710,761,21661.29,3,1,1,1453,428,10000089013,8,Almost Lost
1215,1453,710,761,21661.29,3,1,1,1453,428,52840000075,8,Almost Lost
1216,1453,710,761,21661.29,3,1,1,1453,428,53475600050,8,Almost Lost
1217,1453,710,761,21661.29,3,1,1,1453,428,57064021233,8,Almost Lost
1218,1453,710,761,21661.29,3,1,1,1453,584,54280011660,17,Almost Lost
1219,1453,710,761,21661.29,3,1,1,1453,585,55100055075,17,Almost Lost
1220,1453,710,761,21661.29,3,1,1,1453,588,10000085475,18,Almost Lost
1221,1453,710,761,21661.29,3,1,1,1453,588,51258700050,18,Almost Lost
1222,1453,710,761,21661.29,3,1,1,1453,588,54900050076,18,Almost Lost
1223,1453,710,761,21661.29,3,1,1,1453,595,53800050033,18,Almost Lost
1224,1453,710,761,21661.29,3,1,1,1453,595,54300026050,18,Almost Lost
1225,1453,710,761,21661.29,3,1,1,1453,595,54900050076,18,Almost Lost
1226,1453,710,761,21661.29,3,1,1,1453,662,10000085496,24,Almost Lost
1227,1453,710,761,21661.29,3,1,1,1453,662,51380040009,23,Almost Lost
1228,1453,710,761,21661.29,3,1,1,1453,662,52840000082,23,Almost Lost
1229,1453,710,761,21661.29,3,1,1,1453,662,54060060033,23,Almost Lost
1230,1453,710,761,21661.29,3,1,1,1453,662,57027211076,23,Almost Lost
1231,1453,710,761,21661.29,3,1,1,1453,678,10000085495,24,Almost Lost
1232,1453,710,761,21661.29,3,1,1,1453,678,54060060033,23,Almost Lost
1192,1430,711,344,20352.99,3,1,1,1430,418,10000085364,8,Almost Lost
669,718,707,599,19299.86,3,1,1,718,239,51111074242,26,Almost Lost
670,718,707,599,19299.86,3,1,1,718,283,53620010028,27,Almost Lost
671,718,707,599,19299.86,3,1,1,718,351,51111070124,30,Almost Lost
672,718,707,599,19299.86,3,1,1,718,494,53600000082,10,Almost Lost
673,718,707,599,19299.86,3,1,1,718,600,55703711082,18,Almost Lost
1402,1653,710,541,19153.75,3,1,1,1653,600,10000085475,18,Almost Lost
921,982,710,412,18790.34,3,1,1,982,421,10000085363,8,Almost Lost
922,982,710,412,18790.34,3,1,1,982,475,54110030074,10,Almost Lost
923,982,710,412,18790.34,3,1,1,982,506,10000085425,13,Almost Lost
924,982,710,412,18790.34,3,1,1,982,506,52740022050,13,Almost Lost
925,982,710,412,18790.34,3,1,1,982,506,57255400076,13,Almost Lost
926,982,710,412,18790.34,3,1,1,982,514,10000089124,13,Almost Lost
927,982,710,412,18790.34,3,1,1,982,514,51600040033,13,Almost Lost
928,982,710,412,18790.34,3,1,1,982,522,50800490076,13,Almost Lost
929,982,710,412,18790.34,3,1,1,982,549,50800490076,13,Almost Lost
930,982,710,412,18790.34,3,1,1,982,549,54800110055,14,Almost Lost
931,982,710,412,18790.34,3,1,1,982,599,10000085479,18,Almost Lost
932,982,710,412,18790.34,3,1,1,982,599,51800015050,18,Almost Lost
933,982,710,412,18790.34,3,1,1,982,599,54900050076,18,Almost Lost
934,982,710,412,18790.34,3,1,1,982,599,57045970076,17,Almost Lost
935,982,710,412,18790.34,3,1,1,982,639,51600070033,18,Almost Lost
936,982,710,412,18790.34,3,1,1,982,639,51800000050,22,Almost Lost
937,982,710,412,18790.34,3,1,1,982,639,51800015050,18,Almost Lost
938,982,710,412,18790.34,3,1,1,982,639,54850010033,18,Almost Lost
939,982,710,412,18790.34,3,1,1,982,639,54850010033,22,Almost Lost
441,400,711,310,18494.14,3,1,1,400,683,52840000033,25,Almost Lost
442,400,711,310,18494.14,3,1,1,400,683,54900050082,25,Almost Lost
443,400,711,310,18494.14,3,1,1,400,683,57192110076,25,Almost Lost
444,400,711,310,18494.14,3,1,1,400,683,57797520075,25,Almost Lost
1078,1229,711,385,18304.31,3,1,1,1229,491,10000089073,12,Almost Lost
1079,1229,711,385,18304.31,3,1,1,1229,491,52100023024,12,Almost Lost
1080,1229,711,385,18304.31,3,1,1,1229,491,54470031076,12,Almost Lost
1081,1229,711,385,18304.31,3,1,1,1229,491,57680000025,12,Almost Lost
1082,1229,711,385,18304.31,3,1,1,1229,551,10000085429,13,Almost Lost
1083,1229,711,385,18304.31,3,1,1,1229,622,10000085475,18,Almost Lost
1694,1975,710,363,17548.27,3,1,1,1975,236,52100026076,26,Almost Lost
1695,1975,710,363,17548.27,3,1,1,1975,236,57294010013,26,Almost Lost
1696,1975,710,363,17548.27,3,1,1,1975,419,57631000076,8,Almost Lost
1697,1975,710,363,17548.27,3,1,1,1975,438,52580010042,9,Almost Lost
1698,1975,710,363,17548.27,3,1,1,1975,656,53620010028,20,Almost Lost
