,STORE_ID,Big_Spenders,Almost Churned
0,154,1.0,
1,289,3.0,7.0
2,292,6.0,23.0
3,293,2.0,7.0
4,295,1.0,9.0
5,296,7.0,19.0
6,299,4.0,15.0
7,304,8.0,13.0
8,306,1.0,14.0
9,309,2.0,16.0
10,313,1.0,6.0
11,315,1.0,10.0
12,316,5.0,11.0
13,317,5.0,16.0
14,318,3.0,10.0
15,319,4.0,19.0
16,320,4.0,7.0
17,321,4.0,19.0
18,322,3.0,14.0
19,323,3.0,11.0
20,324,6.0,13.0
21,327,8.0,20.0
22,329,3.0,12.0
23,330,6.0,17.0
24,333,3.0,11.0
25,334,2.0,13.0
26,335,2.0,14.0
27,338,4.0,19.0
28,339,1.0,6.0
29,341,1.0,2.0
30,343,7.0,35.0
31,345,1.0,5.0
32,346,2.0,12.0
33,354,3.0,6.0
34,355,3.0,7.0
35,356,2.0,8.0
36,358,4.0,12.0
37,359,2.0,13.0
38,361,4.0,14.0
39,362,2.0,8.0
40,363,2.0,12.0
41,364,1.0,5.0
42,365,2.0,2.0
43,367,9.0,30.0
44,368,5.0,9.0
45,369,3.0,22.0
46,370,4.0,6.0
47,372,5.0,20.0
48,374,1.0,7.0
49,375,5.0,28.0
50,380,2.0,18.0
51,381,3.0,21.0
52,382,3.0,9.0
53,384,5.0,14.0
54,388,3.0,18.0
55,389,4.0,9.0
56,391,4.0,14.0
57,396,3.0,23.0
58,400,4.0,17.0
59,401,5.0,11.0
60,402,4.0,19.0
61,403,1.0,10.0
62,404,2.0,8.0
63,406,5.0,23.0
64,410,1.0,9.0
65,412,1.0,15.0
66,414,5.0,11.0
67,421,6.0,20.0
68,424,2.0,14.0
69,427,2.0,14.0
70,429,2.0,16.0
71,432,6.0,16.0
72,433,4.0,12.0
73,438,3.0,15.0
74,439,3.0,16.0
75,441,1.0,8.0
76,442,4.0,9.0
77,443,4.0,7.0
78,445,5.0,14.0
79,446,2.0,10.0
80,447,3.0,10.0
81,448,3.0,16.0
82,450,6.0,14.0
83,569,1.0,
84,673,1.0,
85,696,1.0,
86,784,1.0,
87,2731,1.0,
88,3001,1.0,
89,3007,1.0,
90,3090,1.0,
91,3141,1.0,
92,3181,1.0,
93,3235,1.0,
94,3271,1.0,
95,3334,1.0,
96,3417,1.0,
97,3553,1.0,
98,3638,1.0,
99,3672,1.0,
100,31582,5.0,9.0
101,31642,1.0,7.0
102,31742,2.0,12.0
103,31762,3.0,10.0
104,31782,6.0,21.0
105,31862,5.0,9.0
106,32004,3.0,22.0
107,27,,1.0
108,105,,1.0
109,115,,1.0
110,134,,1.0
111,149,,1.0
112,197,,2.0
113,286,,5.0
114,297,,4.0
115,298,,11.0
116,300,,6.0
117,310,,10.0
118,311,,5.0
119,337,,5.0
120,340,,6.0
121,352,,7.0
122,360,,2.0
123,366,,2.0
124,379,,3.0
125,408,,9.0
126,420,,4.0
127,422,,15.0
128,436,,12.0
129,440,,5.0
130,476,,1.0
131,489,,1.0
132,498,,1.0
133,514,,1.0
134,542,,1.0
135,549,,1.0
136,563,,2.0
137,566,,1.0
138,578,,1.0
139,588,,1.0
140,622,,1.0
141,624,,1.0
142,627,,1.0
143,634,,1.0
144,656,,1.0
145,706,,1.0
146,715,,1.0
147,721,,1.0
148,895,,1.0
149,901,,1.0
150,903,,1.0
151,1582,,1.0
152,2734,,1.0
153,2747,,1.0
154,2748,,1.0
155,2761,,1.0
156,2767,,2.0
157,2768,,1.0
158,2773,,2.0
159,2779,,1.0
160,2816,,1.0
161,2841,,2.0
162,2848,,1.0
163,2863,,1.0
164,2873,,1.0
165,2875,,1.0
166,2883,,1.0
167,2891,,1.0
168,2898,,2.0
169,2903,,2.0
170,2918,,1.0
171,2930,,1.0
172,2942,,1.0
173,2950,,1.0
174,2971,,1.0
175,2974,,1.0
176,2980,,1.0
177,2981,,1.0
178,2991,,1.0
179,2998,,2.0
180,3005,,1.0
181,3008,,2.0
182,3013,,1.0
183,3027,,1.0
184,3060,,1.0
185,3091,,1.0
186,3126,,1.0
187,3131,,1.0
188,3149,,2.0
189,3182,,1.0
190,3217,,3.0
191,3233,,1.0
192,3248,,1.0
193,3272,,1.0
194,3294,,1.0
195,3313,,2.0
196,31401,,9.0
